Name,Date,Nationality,Summary,Description
Christiaan Huygens ,1629-1695,Dutch," Discovered Titan, the first moon of Saturn to be observed","Using a telescope that he designed, Huygens observed the ring of Saturn and its elliptical shape. He was also the first to observe the Orion Nebula, which is located in the Orion constellation."
Edmund Halley ,1656-1742,English, Studying and predicting the orbit of comets,"Halley spent 18 years studying the revolution of the moon and its revolutions. He also published Synopsis on Cometary Astronomy, which explained how comets have an elliptical orbit around the sun."
Charles Messier ,1730-1817,French, Organized a cataloging system of nebulae and stars,"Discovered more than a dozen comets and observed many others, including the return of Halley’s Comet. His Messier Catalogue organized many objects in the sky into a system that is still used by astronomers today."
"Joseph-Louis Lagrange
",1736-1813,Italian, Lagrangian Points,"Lagrange was an astronomer who worked to solve several questions, including why one side of the moon always showed towards the earth and how to determine the orbit of a comet, among other things."
William Herschel ,1738-1822,German, Discovered Uranus,"Herschel discovered two moons of Saturn – Enceladus and Mimas. He also discovered the planet Uranus along with possible rings around it and two of its moons, which were later named Oberon and Titania by his son."
Pierre-Simon Laplace ,1749-1827,French, One of the first astronomers to discuss the possibility of black holes,"LaPlace is often referred to as the French Isaac Newton because of his contributions to science, specifically astronomy. He presented the theory of gravitations collapse and wrote a five-volume work entitled Celestial Mechanics."
Caroline Herschel ,1750-1848,German," Discovered several comets, including the rediscovery of Comet Encke","Worked extensively with her husband, William, on astronomical observations. She was awarded the Gold Medal by the Royal Astronomical Society in 1828. She was one of the first honorary members of the organization, too."
Johann Gottfried Galle ,1812-1910,German, First astronomer to observe Neptune,"Worked at the Berlin Observatory for many years and discovered the planet Neptune, a dark ring of Saturn, and three previously undiscovered comets. Also became the director of the Breslau Observatory for more than 40 years."
Annie Jump Cannon ,1863-1941,American, Helped Create the Harvard Classification Scheme,"Received the nickname “Census Taker of the Sky” because she classified more stars than anybody else before her – more than 230,000 of them. She was the first female elected as an office of the American Astronomical Society and she has a lunar crater named after her."
Edwin Hubble ,1889-1953,American, Created Hubble’s Law,"Discovered that the universe is ever-expanding and that there were more galaxies besides the Milky Way. Hubble also organized galaxies into three classes – spirals, ellipticals, and irregulars."
Fritz Zwicky ,1898-1974,Swiss, Helped coin the term “supernova”,"Zwicky studied nearby galaxies extensively to search for supernovas. In just four years, he found 18 of them. Before his work, only about 12 supernovas had been found in the history of astronomy."
George Gamow ,1904-1968,Russian, Revised and explained the Big Bang Theory of the universe,Co-authored a publication entitled The Origin of Chemical Elements with Ralph Alpher. It explained how current levels of helium and hydrogen in the cosmos could be the result of the reactions that occurred during the Big Bang.
Clyde Tombaugh ,1906-1997,American, Discoverd Pluto in 1930,"Tombaugh discovered hundreds of asteroids during his career as an astronomer. He also discovered other cosmology phenomenon, including galaxy clusters, variable stars, and superclusers."
Thomas Gold ,1920-2004,Austrian, Helped create the Steady State theory of the universe,"Coined the term “magnetosphere,” which refers to a planet or object controlling particles by way of magnetic fields. He also suggested a theory in which life on earth is the result of “waste products” being dumped on the planet by ETs."
Carl Sagan ,1934-1996,American, Theorized that Mars is the “dusty planet”,"Cofounder of the Planetary Society, which encourages the study of the universe. He has also written several books as well as Contact, which was turned into a major motion picture."
Stephen Hawking ,1942- ,American, Works with black holes and gravitational studies,"Hawking is a scientist and astronomer who has published bestselling books about his theories and findings. A Brief History of Time (1988) stayed on the bestseller list for more than 235 weeks, a record for any book."
Jocelyn Bell ,1943,Northern, Credited with the discovery of pulsars while a student,"Jocelyn Bell was one of the people who helped discover pulsars. However, two others were given the Nobel Prize for the discovery in 1974 because she was only a university student at the time. Since then, she has served a term as president of the Royal Astronomical Society."
Neil deGrasse Tyson ,1958- ,American, Reclassified Pluto as a dwarf planet,"Tyson has published several popular books about astronomy, including a book about Pluto’s demotion as a planet and a book about black holes. He has also been awarded prestigious awards from NASA and prominent universities and made several TV appearances to talk about his work."
